id;first_name;last_name;linkedin_url;full_name;years_of_experience;current_salary;desired_salary;has_contract;hired;rate;techcv_id
1;Elva;Krajcik;who sans apropos;wherever creepy;23324;26119.49;13416.82;true;true;17660.36;1
2;Everett;Ebert;pry;faith;22026;30873.04;1090.93;true;true;27644.56;2
3;Carmen;Blick;via once fidget;oh pegboard out;29572;6255.35;25017.61;false;true;24000.26;3
4;Immanuel;Stark;inwardly;worriedly agitated;20800;8274.97;6318.33;false;false;7270.96;4
5;Katlyn;Kozey-Gutmann;aw yahoo;thresh;21445;22678.39;19536.66;true;true;27518.9;5
6;Bridget;Lakin;voluntarily huzzah;whether expurgate;19515;29178.02;32078.63;true;true;23955.24;6
7;Emelia;Terry;greedily invite;excepting unnaturally tightly;32760;15897.73;27045.96;true;false;14719.65;7
8;Marley;Brakus;for top;pathway thankfully;20508;8655.63;10937.39;true;false;108.63;8
9;Lysanne;Denesik;under;dimpled pulse rating;2661;15878.7;28170.78;false;true;11653.43;9
10;Tamara;Grant;amongst which phooey;or strand;7794;9116.88;20541.01;true;false;4865.11;10
